ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x1de5,CUS_0x8db8,April,Aileen Wanga,42,451-74-2945,Doctor,31807.0,,8,3,14,2,"Student Loan, and Mortgage Loan",21,,20.68,1.0,Standard,611.04,27.067053629542738,20 Years and 4 Months,Yes,35.55369086237439,32.15559293309028,High_spent_Medium_value_payments,455.6490495378687,Good
0x2529,CUS_0x4c77,April,Tim Gaynorq,33,127-59-2463,Doctor,9349.475,772.1229166666667,6,6,19,9,"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Payday Loan, and Mortgage Loan",39,20,24.98,9.0,_,4833.08,33.55276574844233,3 Years and 6 Months,Yes,52.065135023870134,47.13656834560998,Low_spent_Small_value_payments,268.0105882971866,Poor
0x46ce,CUS_0xb1e1,January,Joseph Axg,18,170-19-6505,Media_Manager,39242.58,3332.215,10,8,27,5,"Home Equity Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, and Mortgage Loan",41,16,26.91,8.0,Bad,3861.66,24.28751714733325,6 Years and 2 Months,Yes,110.11908972966071,402.7000087196666,Low_spent_Small_value_payments,110.40240155067276,Poor
0x3684,CUS_0x9885,July,Paul Dayl,17,186-49-9679,Developer,41086.4,3660.866666666667,3,4,6,7,"Home Equity Loan, Not Specified, Mortgage Loan, Personal Loan, Auto Loan, Not Specified, and Student Loan",10,20,17.86,10.0,Standard,113.98,31.12786597351356,11 Years and 11 Months,Yes,145.5443201837779,251.53531484352402,High_spent_Small_value_payments,229.0070316393648,Standard
0x38e4,CUS_0x9f69,March,Seetharamanh,53,880-46-4570,Developer,43504.07,3767.339166666666,5,4,2,2,"Mortgage Loan, and Student Loan",10,3,6.76,2.0,Good,530.51,37.98556329660476,30 Years and 3 Months,No,53.4283374998532,139.7194217628246,High_spent_Medium_value_payments,433.58615740398886,Good
0x28a4,CUS_0xa9e3,July,Henryn,32_,005-46-5010,_______,7795.54,804.6283333333333,10,6,18,6,"Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, and Payday Loan",60,23,2.62,16.0,Bad,1990.69,30.136595687057227,19 Years and 1 Months,NM,29.59967891953896,52.07858926962737,Low_spent_Small_value_payments,288.784565144167,Poor
0x45cb,CUS_0x3969,June,Deepa Seetharamand,30,316-61-8679,Architect,16154.25,1273.1875,8,8,29,5,"Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, and Auto Loan",31,20,4.8,10.0,Bad,1426.76,28.556154519430343,NA,NM,33.767386483048256,47.677154510982525,Low_spent_Small_value_payments,335.87420900596925,Poor
0x542e,CUS_0x3ec7,May,Kumarm,36,274-10-1233,Media_Manager,82999.64,7156.636666666666,5,7,8,2_,"Personal Loan, and Mortgage Loan",13,,2.53,2.0,Good,1495.36,27.79094455156762,18 Years and 1 Months,No,104.57723559704674,96.45444528625949,High_spent_Large_value_payments,754.6319857833604,Standard
0x4c40,CUS_0xa340,March,Balazs Koranyiz,29,328-38-0262,_______,60417.68,5237.806666666666,5,4,18,-100,Credit-Builder Loan,17,9,8.3,710.0,Standard,1010.73,26.897772182403713,NA,NM,27.46092673718074,84.33745216632158,High_spent_Large_value_payments,651.9822877631642,Standard
0x275b,CUS_0x9338,February,Bartj,19,420-69-3653,Architect,72252.36,6059.03,5,3,12,4,"Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Personal Loan",22,,9.1,4.0,Standard,51.39,28.639975097055824,25 Years and 3 Months,No,127.15030194941885,90.77576851266979,High_spent_Large_value_payments,627.9769295379114,Standard
0x2e51,CUS_0x8974,August,,22,263-28-2833,Writer,134150.0,,4,3,10,2,"Payday Loan, and Not Specified",13,1,1.51,5.0,Good,1295.2,31.66734349172133,16 Years and 3 Months,No,201.7341927507147,287.4382703275609,High_spent_Small_value_payments,859.4442035883909,Standard
0x4463,CUS_0x6df5,June,,43,135-83-0935,Writer,17602.93,,9,10,29,6,"Student Loan, Personal Loan, Payday Loan, Personal Loan, Home Equity Loan, and Debt Consolidation Loan",47,17,13.49,7.0,Standard,2158.18,32.02283499534781,NA,Yes,29531.0,130.8494673816552,Low_spent_Small_value_payments,230.06409676941018,Standard
0x5289,CUS_0x7e25,April,Ayesha Rascoey,19,755-90-5835,Doctor,15833.87,1398.489166666667,5,4,10,2,"Home Equity Loan, and Credit-Builder Loan",30,20,8.71,5.0,Standard,211.35,28.290381943806015,12 Years and 11 Months,Yes,23.14444966214418,152.57716701673704,Low_spent_Small_value_payments,254.12729998778545,Standard
0x2401,CUS_0x6387,August,,27,063-08-8008,Manager,62316.63,4895.0525,8,4,7,2,"Payday Loan, and Debt Consolidation Loan",12,9,0.94,1.0,Standard,417.27,39.00423496372967,26 Years and 10 Months,No,82.73317698517836,146.4301794746167,High_spent_Medium_value_payments,510.34189354020486,Standard
