ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x17f4,CUS_0x6a1b,July,Toonkeln,33,252-50-2326,Accountant,30788.44,2623.703333333333,7,9,31,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan",49,20,21.73,9.0,Bad,3470.08,27.159810891714944,1 Years and 8 Months,Yes,114.533020898938,70.08822093436186,!@9#%8,327.7490915000335,Standard
0x468b,CUS_0x3cb6,June,Davenportj,34,918-41-4565,Musician,107275.71,,6,7,6,0,,19,10,7.28,5.0,Good,174.76,43.68527667585587,17 Years and 7 Months,No,0.0,193.60561813596658,High_spent_Large_value_payments,965.2586318640336,Good
0x443a,CUS_0xbe9d,January,Yunc,21,667-33-3115,Journalist,103968.38999999998,8612.0325,3,7,6,1,Personal Loan,14,10,4.37,0.0,Good,1234.59,38.00768554628478,17 Years and 8 Months,No,73.63741342979709,340.6240153321644,Low_spent_Medium_value_payments,726.9418212380385,Standard
0x6505,CUS_0xa90a,August,Andreas,35,584-75-6404,Mechanic,34297.9,2801.1583333333333,9,8,16,8,"Payday Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, and Debt Consolidation Loan",61,18,21.5,15.0,Bad,4469.48,35.62424324313756,3 Years and 2 Months,Yes,175.80648840220306,173.98559468600945,High_spent_Small_value_payments,190.32375024512086,Standard
0x3ab7,CUS_0x36f9,February,Lucy Hornbyr,46,992-38-5349,Developer,82065.16,6771.763333333332,5,5,3,3,"Not Specified, Home Equity Loan, and Auto Loan",12,9,5.55,1.0,Good,106.83,35.13104142714625,23 Years and 0 Months,No,180.34060665960084,439.84017944810165,High_spent_Small_value_payments,316.995547225631,Good
0x2bf8,CUS_0x5db1,July,Herbertm,37,418-30-2017,Developer,25621.01,1837.0841666666665,3,7,3,2,"Home Equity Loan, and Payday Loan",14,9,5.37,2.0,Good,1336.73,26.56225310635775,31 Years and 1 Months,No,26.74670147298544,243.03721691933384,Low_spent_Small_value_payments,203.92449827434743,Standard
0x42ca,CUS_0x9d9a,May,Tanya Agrawalm,38,#F%$D@*&8,Teacher,84660.74,7046.061666666667,4,4,12,1_,Home Equity Loan,11,2,8.99,3.0,Good,702.26,34.754581102336985,27 Years and 3 Months,No,60.86361531697017,104.30813370285972,High_spent_Large_value_payments,779.4344176468369,Good
0x367f,CUS_0x9885,February,Paul Dayl,17,186-49-9679,Developer,41086.4,3660.866666666667,3,4,6,7,"Home Equity Loan, Not Specified, Mortgage Loan, Personal Loan, Auto Loan, Not Specified, and Student Loan",10,17,17.86,10.0,Standard,113.98,34.826541222202714,11 Years and 6 Months,Yes,145.5443201837779,201.1429928919469,Low_spent_Medium_value_payments,__-333333333333333333333333333__,Standard
0x53d0,CUS_0x3f51,July,Emmottn,31,#F%$D@*&8,Engineer,17612.175,1143.2288241346553,6,5,14,4,"Home Equity Loan, Credit-Builder Loan, Home Equity Loan, and Student Loan",11,11,12.75,6.0,Standard,1273.32,28.82299255385756,NA,Yes,108.26413693592329,57.10987119650543,Low_spent_Medium_value_payments,305.3465427329158,Good
0x218f,CUS_0x8c9a,June,Caroline Valetkevitchr,32,759-79-5662,Architect,118172.63999999998,9932.72,0,2,3,4,"Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",5,8,5.71,1.0,Good,701.27,27.466858066148504,16 Years and 8 Months,No,366.86829704918335,194.38376062460608,!@9#%8,672.0199423262105,Good
0x37a0,CUS_0xb102,March,Grayq,27,421-85-2245,Musician,38491.94,3098.661666666667,5,7,18,4,"Home Equity Loan, Debt Consolidation Loan, Not Specified, and Home Equity Loan",15,9,7.31,4.0,Standard,1659.15,37.3123586840166,13 Years and 6 Months,Yes,82.01131524048988,253.06309178703518,Low_spent_Medium_value_payments,254.7917596391416,Standard
0x1aee,CUS_0x7a0f,January,Soyoungc,31,838-98-6353,Architect,38364.82,2904.068333333333,9,6,32,4,"Not Specified, Debt Consolidation Loan, Home Equity Loan, and Mortgage Loan",34,22,3.44,11.0,Bad,1973.63,37.66455307223288,NA,NM,74.85037187731447,74.79251895261616,High_spent_Medium_value_payments,390.7639425034027,Poor
0x3eca,CUS_0x3c6a,January,Zieminskiv,44,#F%$D@*&8,Mechanic,123511.28_,10430.606666666668,8,3,15,4,"Not Specified, Personal Loan, Not Specified, and Mortgage Loan",13,14,0.8,3.0,_,1350.6,37.18834668251811,21 Years and 8 Months,No,254.60436994323842,105.73355331528799,High_spent_Large_value_payments,922.7227434081404,Standard
0x5ebd,CUS_0x93af,August,Ryan Vlastelicae,20,633-97-0538,Doctor,35221.43,,5,3,1,4,"Personal Loan, Mortgage Loan, Home Equity Loan, and Credit-Builder Loan",24,2,3.66,1.0,Good,624.7,35.15054641110833,29 Years and 4 Months,No,110.03858262557188,152.2924997190511,Low_spent_Medium_value_payments,333.2808343220438,Poor
0x3134,CUS_0xaf5f,March,Raymondy,22,512-99-1299,Scientist,85667.7,6966.9749999999985,2,2,7,0,,14,11,5.6,3.0,Good,1457.34,26.255276560046912,21 Years and 3 Months,No,0.0,592.9770086640781,!@9#%8,373.72049133592185,Good
0x650e,CUS_0x12ea,May,Aubine,15,511-49-3728,Doctor,38980.76,3172.396666666667,8,8,25,9,"Home Equity Loan, Not Specified, Personal Loan, Personal Loan, Not Specified, Debt Consolidation Loan, Payday Loan, Mortgage Loan, and Personal Loan",28,16_,16.43,10.0,Bad,2927.1,25.92418216988872,NA,Yes,167.5367489981145,101.51004245902443,High_spent_Medium_value_payments,298.1928752095278,Standard
0x36a3,CUS_0xb78e,February,Zeidlerr,44,340-07-6293,Journalist,121719.0,10073.25,4,3,7,2,"Student Loan, and Home Equity Loan",-1,6,8.4,2.0,_,1481.99,26.514950526388393,NA,No,105.87694744586494,771.5104408316632,Low_spent_Medium_value_payments,409.9376117224717,Standard
0x3aa5,CUS_0x4eea,August,Ryan Vlastelicai,43,316-42-8917,Mechanic,35205.24,3025.77,3,7,6,1,Mortgage Loan,8,5,8.85,5.0,Good,851.4,23.637591124828067,17 Years and 9 Months,No,23.235429820252303,166.64043278512918,Low_spent_Small_value_payments,402.7011373946185,Standard
