ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x4ae9,CUS_0x4b8,August,Danielp,32,587-15-5826,Accountant,27269.1,2437.425,3,3,9,1,Auto Loan,29,11,11.1,3.0,_,1487.56,32.60788478614756,20 Years and 4 Months,No,19.6229505924858,225.4921065919038,Low_spent_Small_value_payments,288.6274428156104,Poor
0x20b8,CUS_0xae95,July,Peterw,22,801-07-4941,Accountant,116594.91,9836.2425,5,6,10,2,"Not Specified, and Mortgage Loan",10,7,8.47,0.0,Good,1124.02,40.33906105818643,NA,NM,171.07702427754958,92.9919255083074,High_spent_Large_value_payments,959.5553002141432,Standard
0x269d,CUS_0x9fff,April,Tenf,54,#F%$D@*&8,Mechanic,25020.07,1928.005833333333,4,3,10,-100,Home Equity Loan,18,11,4.1,3.0,_,94.75,36.36290831059546,22 Years and 1 Months,No,17.06628101073421,153.6146614781367,Low_spent_Medium_value_payments,302.11964084446237,Standard
0x3818,CUS_0xb9c8,March,Sheppardr,31,#F%$D@*&8,Lawyer,19942.04,1783.8366666666668,7,9,20,6,"Auto Loan, Auto Loan, Payday Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",48,22,24.57,12.0,Bad,4542.88,26.04493574323617,5 Years and 4 Months,Yes,91.45962737941673,40.6608200660123,High_spent_Large_value_payments,286.26321922123765,Poor
0x4a6c,CUS_0xa11d,March,Georged,18,877-60-2559,Manager,57786.18000000001,4910.515,7,4,11,-100,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, and Not Specified",25,8,8.89,7.0,Standard,1693.68,27.769543517529502,19 Years and 11 Months,Yes,167.88680325081603,120.12927743514538,High_spent_Large_value_payments,443.0354193140387,Poor
0x3af7,CUS_0x74d5,June,Mortimerz,26,432-94-4099,Lawyer,20821.8,2010.15,5,6,9,2,"Payday Loan, and Credit-Builder Loan",34,9_,6.23,4.0,_,1485.97,35.43091694006881,27 Years and 2 Months,No,21.189696963670034,98.65910508485729,Low_spent_Large_value_payments,351.1661979514727,Poor
0x3ecc,CUS_0x3c6a,March,Zieminskiv,44,791-08-6233,Mechanic,123511.28,10430.606666666668,8,3,15,4,"Not Specified, Personal Loan, Not Specified, and Mortgage Loan",13,11,-6.2,1015.0,Standard,1350.6,42.03713096018481,21 Years and 10 Months,No,254.60436994323842,210.85331964175504,High_spent_Large_value_payments,817.6029770816733,Standard
0x3402,CUS_0x40f,January,Kohk,35,305-18-2483,Entrepreneur,72588.99,,7,4,19,2,"Student Loan, and Home Equity Loan",22,8,11.87,2.0,_,1031.21,30.90196612981404,21 Years and 7 Months,No,72.92831137276113,182.01332430058983,Low_spent_Medium_value_payments,649.2666143266492,Standard
0x25ea,CUS_0xc365,May,Volcovicif,23,070-70-9782,_______,69933.98,5561.831666666666,8,7,5,2,"Auto Loan, and Home Equity Loan",11,8,8.11,5.0,Standard,1446.37,33.999937191657125,18 Years and 6 Months,Yes,86.40115819574194,184.3643665353385,High_spent_Small_value_payments,545.4176419355862,Standard
0x1ca3,CUS_0xc1c9,June,Jessica Toonkelx,46,085-10-1065,Architect,24199.24,,3,7,6,1,Credit-Builder Loan,26,14,0.67,2.0,Good,784.35,29.912858159993053,21 Years and 6 Months,No,13.886305431201704,42.25344080277093,!@9#%8,379.0205870993608,Good
0x4c41,CUS_0xa340,April,Balazs Koranyiz,29,328-38-0262,Developer,60417.68,5237.806666666666,5,527,18,1,Credit-Builder Loan,19,9,5.300000000000002,4.0,Standard,1010.73,28.79299289368781,32 Years and 4 Months,No,27.46092673718074,344.3471513615236,!@9#%8,411.97258856796236,Standard
0x5654,CUS_0x281d,March,Cheeb,37,510-09-3043,Architect,118062.2,10136.516666666666,0,1,7,0,,7,0,7.68,1.0,Good,1393.23,38.24339471442088,29 Years and 5 Months,NM,0.0,170.5162678429165,High_spent_Large_value_payments,1083.1353988237504,Good
0x1933,CUS_0x74f2,February,Colew,30,755-18-0308,Architect,30390.44,,5,6,5,4,"Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan",19,23,8.36,4.0,Standard,580.31,33.55567403668109,24 Years and 4 Months,No,64.84803820501804,149.61343969134492,Low_spent_Large_value_payments,327.6921887703037,Standard
0x1681,CUS_0xa66b,August,Saphirj,41,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,17,11.0,8.0,Standard,1328.93_,31.13948358493632,NA,Yes,65.00817428651536,25.969611914778515,High_spent_Large_value_payments,443.88279713203934,Standard
0x4ba5,CUS_0x2c8f,April,Dinesh Nairv,26,364-46-1763,Entrepreneur,54275.88,4758.99,7,10,30,-100,"Not Specified, Auto Loan, Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Credit-Builder Loan",16,15,4.04,15.0,Bad,4569.66,39.63080150304275,13 Years and 6 Months,Yes,192.16593700516566,119.44459462605593,High_spent_Medium_value_payments,414.28846836877835,Poor
0x51de,CUS_0xc5d7,January,ernie Woodalll,53,156-69-3115,_______,88688.94,7287.745,3,7,8,0,,16,1,3.23,3.0,Good,120.02,39.15880772061161,NA,NM,0.0,465.9337548772155,Low_spent_Small_value_payments,552.8407451227845,Standard
0x2c65,CUS_0x448c,August,,16,028-69-9480,Mechanic,101500.92,8656.41,4,6,14,2,"Payday Loan, and Personal Loan",29,18,13.37,6.0,Standard,835.46,44.156247573662355,15 Years and 9 Months,Yes,141.54570621500434,,High_spent_Large_value_payments,857.3503599354505,Poor
0x5b7f,CUS_0xb2f7,June,Jedx,38,391-36-7954,Writer,102212.37,8470.6975,7,253,16,5,"Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Auto Loan",20,,7.97,11.0,_,657.3,32.878726938418644,18 Years and 7 Months,Yes,257.5915551180574,548.0670875121032,Low_spent_Medium_value_payments,321.4111073698397,Standard
0x51be,CUS_0xbeb0,May,Daveq,49,420-57-3195,_______,39337.45,3032.120833333333,2,7,2,2,"Student Loan, and Home Equity Loan",15,5,6.22,1.0,Good,511.29,30.1901024163764,NA,No,11934.0,88.47213648408794,High_spent_Small_value_payments,426.9131148764978,Poor
0x299a,CUS_0xe94,January,,53,353-56-0782,Musician,66732.58,5845.048333333332,0,2,3,0,,9,8,3.64,3.0,Good,244.07,37.04852688128576,18 Years and 10 Months,No,0.0,94.00527572159194,High_spent_Medium_value_payments,740.4995576117414,Good
0x6036,CUS_0xdc2,January,Jennifer Sabaj,16,331-16-1841,Manager,36964.08,3302.34,7,7,28,7,"Mortgage Loan, Credit-Builder Loan, Student Loan, Payday Loan, Auto Loan, Credit-Builder Loan, and Payday Loan",28,20,24.07,6.0,Bad,4968.99,22.15154126135888,12 Years and 10 Months,Yes,177.7378859038275,62.90376010436429,High_spent_Medium_value_payments,339.59235399180824,Standard
